price_code,section_code,section_name,estimate_line_name,unit,line_type,current_price_from_calculator,source_file,confidence
concrete_pump_32m_shift,floor_slab_2,Ж/Б МОНОЛИТНАЯ ПЛИТА ПЕРЕКРЫТИЯ 2-го этажа на отм. +4.680 (200мм),Работа бетононасоса 32м + гаситель,смена,machinery_fixed,38000.0,experiments/floor_slab_2_calculator/cases/test_floor_slab_2/result.json,from_calculator_result
concrete_pump_32m_shift,foundation_slab,Устройство фундаментной плиты,Работа бетононасоса 32м + гаситель,смена,,38000,experiments/foundation_slab_calculator/output/test_foundation_slab/foundation_slab_result.json,from_calculator_result
crane_shift,floor_slab_1,Ж/Б монолитная плита перекрытия 1-го этажа,"Подача опалубки, арматуры автокраном",смена,machinery,30000.000000,experiments/floor_slab_1_calculator/output/test_floor_slab_1/floor_slab_1_result.json,from_calculator_result
crane_shift,floor_slab_2,Ж/Б МОНОЛИТНАЯ ПЛИТА ПЕРЕКРЫТИЯ 2-го этажа на отм. +4.680 (200мм),"Подача опалубки, арматуры автокраном",смена,machinery,30000.0,experiments/floor_slab_2_calculator/cases/test_floor_slab_2/result.json,from_calculator_result
crane_shift,foundation_slab,Устройство фундаментной плиты,Подача арматуры автокраном,смена,,30000,experiments/foundation_slab_calculator/output/test_foundation_slab/foundation_slab_result.json,from_calculator_result
crane_shift,load_bearing_walls_lintels,Несущие стены и перемычки,"Перемещение блоков, смеси автокраном 25 т",смена,,30000,experiments/load_bearing_walls_lintels_calculator/output/test_load_bearing_walls_lintels/load_bearing_walls_lintels_result.json,from_calculator_result
crane_shift,load_bearing_walls_lintels,Несущие стены и перемычки,"Перемещение блоков, смеси автокраном для парапета",смена,,30000,experiments/load_bearing_walls_lintels_calculator/output/test_load_bearing_walls_lintels/load_bearing_walls_lintels_result.json,from_calculator_result
cutoff_waterproofing_under_blocks_m2,load_bearing_walls_lintels,Несущие стены и перемычки,Гидроизоляция поверхности под первый ряд блоков,м2,,250,experiments/load_bearing_walls_lintels_calculator/output/test_load_bearing_walls_lintels/load_bearing_walls_lintels_result.json,from_calculator_result
edge_insulation_work_m,floor_slab_1,Ж/Б монолитная плита перекрытия 1-го этажа,"Устройство утепления по наружной стороне торцов плиты, балок",мп,work,450.000000,experiments/floor_slab_1_calculator/output/test_floor_slab_1/floor_slab_1_result.json,from_calculator_result
edge_insulation_work_m,floor_slab_2,Ж/Б МОНОЛИТНАЯ ПЛИТА ПЕРЕКРЫТИЯ 2-го этажа на отм. +4.680 (200мм),"Устройство утепления по наружной стороне торцов плиты, балок",мп,work,450.0,experiments/floor_slab_2_calculator/cases/test_floor_slab_2/result.json,from_calculator_result
eps_bottom_slab_insulation_work_m2,floor_slab_1,Ж/Б монолитная плита перекрытия 1-го этажа,Устройство утепления низа плиты,м2,work,900.000000,experiments/floor_slab_1_calculator/output/test_floor_slab_1/floor_slab_1_result.json,from_calculator_result
eps_foam_glue_can,floor_slab_1,Ж/Б монолитная плита перекрытия 1-го этажа,Клей-пена для ЭППС,баллон,materials_consumables,490.000000,experiments/floor_slab_1_calculator/output/test_floor_slab_1/floor_slab_1_result.json,from_calculator_result
eps_foam_glue_can,floor_slab_2,Ж/Б МОНОЛИТНАЯ ПЛИТА ПЕРЕКРЫТИЯ 2-го этажа на отм. +4.680 (200мм),Клей-пена для ЭППС,баллон,materials_consumables,490.0,experiments/floor_slab_2_calculator/cases/test_floor_slab_2/result.json,from_calculator_result
eps_foam_glue_can,waterproofing,Гидроизоляция фундаментной плиты,Клей-пена для ЭППС,баллон,,490,experiments/waterproofing_calculator/output/test_waterproofing_foundation_slab/waterproofing_result.json,from_calculator_result
eps_geo_100_m3,foundation_slab,Устройство фундаментной плиты,Пеноплэкс ГЕО 100 мм,м3,,10000,experiments/foundation_slab_calculator/output/test_foundation_slab/foundation_slab_result.json,from_calculator_result
eps_geo_100_m3,waterproofing,Гидроизоляция фундаментной плиты,Пеноплэкс ГЕО 100 мм,м3,,10000,experiments/waterproofing_calculator/output/test_waterproofing_foundation_slab/waterproofing_result.json,from_calculator_result
eps_geo_50_m3,foundation_slab,Устройство фундаментной плиты,Пеноплэкс ГЕО 50 мм,м3,,9800,experiments/foundation_slab_calculator/output/test_foundation_slab/foundation_slab_result.json,from_calculator_result
eps_laying_work_m2,foundation_slab,Устройство фундаментной плиты,Укладка ЭППС 50мм под плитой,м2,,250,experiments/foundation_slab_calculator/output/test_foundation_slab/foundation_slab_result.json,from_calculator_result
eps_penoplex_osnova_100_m3,floor_slab_1,Ж/Б монолитная плита перекрытия 1-го этажа,Экструдированный пенополистирол Пеноплэкс Основа 100х585х1185 мм,м3,materials,9020.000000,experiments/floor_slab_1_calculator/output/test_floor_slab_1/floor_slab_1_result.json,from_calculator_result
eps_penoplex_osnova_100_m3,floor_slab_2,Ж/Б МОНОЛИТНАЯ ПЛИТА ПЕРЕКРЫТИЯ 2-го этажа на отм. +4.680 (200мм),Экструдированный пенополистирол Пеноплэкс Основа 100х585х1185 мм,м3,materials,9020.0,experiments/floor_slab_2_calculator/cases/test_floor_slab_2/result.json,from_calculator_result
eps_wall_insulation_work_m2,waterproofing,Гидроизоляция фундаментной плиты,Утепление стен плиты ЭППС 100 мм,м2,,500,experiments/waterproofing_calculator/output/test_waterproofing_foundation_slab/waterproofing_result.json,from_calculator_result
excavator_jcb_shift,earthworks,Земляные работы,"Механизированная разработка грунта, Экскаватор JCB",смена,,22000,experiments/earthworks_calculator/output/horoshevka_14/earthworks_result.json,from_calculator_result
excavator_jcb_shift,earthworks,Земляные работы,"Механизированная разработка грунта, Экскаватор JCB",смена,,26000,experiments/earthworks_calculator/output/usv_yusupovo_village/earthworks_result.json,from_calculator_result
formwork_consumables_m2,floor_slab_1,Ж/Б монолитная плита перекрытия 1-го этажа,"Расходные материалы для установки опалубки (смазка; звездочки ПВХ, трубки)",-,materials_consumables,9759.080000,experiments/floor_slab_1_calculator/output/test_floor_slab_1/floor_slab_1_result.json,from_calculator_result
formwork_consumables_m2,floor_slab_2,Ж/Б МОНОЛИТНАЯ ПЛИТА ПЕРЕКРЫТИЯ 2-го этажа на отм. +4.680 (200мм),"Расходные материалы для установки опалубки (смазка; звездочки ПВХ, трубки)",-,materials_consumables,3849.300000,experiments/floor_slab_2_calculator/cases/test_floor_slab_2/result.json,from_calculator_result
formwork_delivery_truck,floor_slab_1,Ж/Б монолитная плита перекрытия 1-го этажа,"Доставка, вывоз опалубки манипулятором",маш,logistics_machinery,20000.000000,experiments/floor_slab_1_calculator/output/test_floor_slab_1/floor_slab_1_result.json,from_calculator_result
formwork_delivery_truck,floor_slab_2,Ж/Б МОНОЛИТНАЯ ПЛИТА ПЕРЕКРЫТИЯ 2-го этажа на отм. +4.680 (200мм),"Доставка, вывоз опалубки манипулятором",маш,logistics_machinery,20000.0,experiments/floor_slab_2_calculator/cases/test_floor_slab_2/result.json,from_calculator_result
formwork_dismantling_work_m2,foundation_slab,Устройство фундаментной плиты,Демонтаж опалубки после завершения бетонирования,м2,,,experiments/foundation_slab_calculator/output/test_foundation_slab/foundation_slab_result.json,from_calculator_result
formwork_rental_m2,floor_slab_1,Ж/Б монолитная плита перекрытия 1-го этажа,"Комплект опалубки (телескопические стойки, унивилки, треноги, водостойкая фанера, поперечные и продольные балки двутавровые)",м2,materials,600.000000,experiments/floor_slab_1_calculator/output/test_floor_slab_1/floor_slab_1_result.json,from_calculator_result
formwork_rental_m2,floor_slab_2,Ж/Б МОНОЛИТНАЯ ПЛИТА ПЕРЕКРЫТИЯ 2-го этажа на отм. +4.680 (200мм),"Комплект опалубки (телескопические стойки, унивилки, треноги, водостойкая фанера, поперечные и продольные балки двутавровые)",м2,materials,850.0,experiments/floor_slab_2_calculator/cases/test_floor_slab_2/result.json,from_calculator_result
gas_block_cladding_work_m2,load_bearing_walls_lintels,Несущие стены и перемычки,Обкладка дымохода и вентканалов 150 мм,м2,,1200,experiments/load_bearing_walls_lintels_calculator/output/test_load_bearing_walls_lintels/load_bearing_walls_lintels_result.json,from_calculator_result
gas_block_d400_m3,load_bearing_walls_lintels,Несущие стены и перемычки,Газобетонный блок D400 600x400x250 мм,м3,,6000,experiments/load_bearing_walls_lintels_calculator/output/test_load_bearing_walls_lintels/load_bearing_walls_lintels_result.json,from_calculator_result
gas_block_d400_m3,load_bearing_walls_lintels,Несущие стены и перемычки,Газобетонный блок D400 для парапета и верхнего уровня,м3,,6000,experiments/load_bearing_walls_lintels_calculator/output/test_load_bearing_walls_lintels/load_bearing_walls_lintels_result.json,from_calculator_result
gas_block_d500_150_m3,load_bearing_walls_lintels,Несущие стены и перемычки,Газобетонный блок D500 600x150x250 мм,м3,,5600,experiments/load_bearing_walls_lintels_calculator/output/test_load_bearing_walls_lintels/load_bearing_walls_lintels_result.json,from_calculator_result
gas_block_d500_m3,load_bearing_walls_lintels,Несущие стены и перемычки,Газобетонный блок D500 600x250x250 мм,м3,,5500,experiments/load_bearing_walls_lintels_calculator/output/test_load_bearing_walls_lintels/load_bearing_walls_lintels_result.json,from_calculator_result
gas_block_masonry_work_m3,load_bearing_walls_lintels,Несущие стены и перемычки,"Кладка внешних, внутренних стен из газобетонных блоков",м3,,7000,experiments/load_bearing_walls_lintels_calculator/output/test_load_bearing_walls_lintels/load_bearing_walls_lintels_result.json,from_calculator_result
gas_block_masonry_work_m3,load_bearing_walls_lintels,Несущие стены и перемычки,Кладка парапета и верхнего уровня,м3,,7000,experiments/load_bearing_walls_lintels_calculator/output/test_load_bearing_walls_lintels/load_bearing_walls_lintels_result.json,from_calculator_result
geotextile_dornit_300_m2,earthworks,Земляные работы,Геотекстиль Дорнит 300 г.м2 (100м2),м2,,109,experiments/earthworks_calculator/output/horoshevka_14/earthworks_result.json,from_calculator_result
geotextile_dornit_300_m2,earthworks,Земляные работы,Геотекстиль Дорнит 300 г.м2 (100м2),м2,,109,experiments/earthworks_calculator/output/usv_yusupovo_village/earthworks_result.json,from_calculator_result
geotextile_laying_m2,earthworks,Земляные работы,Укладка геотекстиля,м2,,35,experiments/earthworks_calculator/output/usv_yusupovo_village/earthworks_result.json,from_calculator_result
lintel_concreting_work_m,load_bearing_walls_lintels,Несущие стены и перемычки,Бетонирование перемычек,мп,,1000,experiments/load_bearing_walls_lintels_calculator/output/test_load_bearing_walls_lintels/load_bearing_walls_lintels_result.json,from_calculator_result
manual_concrete_lifting_m3,load_bearing_walls_lintels,Несущие стены и перемычки,"Перенос, подъём бетона вручную",м3,,5000,experiments/load_bearing_walls_lintels_calculator/output/test_load_bearing_walls_lintels/load_bearing_walls_lintels_result.json,from_calculator_result
manual_excavation_m3,earthworks,Земляные работы,Доработка грунта вручную,м3,,1200,experiments/earthworks_calculator/output/horoshevka_14/earthworks_result.json,from_calculator_result
manual_excavation_m3,earthworks,Земляные работы,Разработка грунта вручную,м3,,1400,experiments/earthworks_calculator/output/usv_yusupovo_village/earthworks_result.json,from_calculator_result
metal_delivery_truck,floor_slab_1,Ж/Б монолитная плита перекрытия 1-го этажа,"Доставка арматуры, металла",маш,logistics_machinery,22000.000000,experiments/floor_slab_1_calculator/output/test_floor_slab_1/floor_slab_1_result.json,from_calculator_result
metal_delivery_truck,foundation_slab,Устройство фундаментной плиты,"Доставка арматуры, металла",маш,,22000,experiments/foundation_slab_calculator/output/test_foundation_slab/foundation_slab_result.json,from_calculator_result
planter_membrane_installation_work_m2,foundation_slab,Устройство фундаментной плиты,Монтаж мембраны PLANTER стандарт,м2,,100,experiments/foundation_slab_calculator/output/test_foundation_slab/foundation_slab_result.json,from_calculator_result
planter_standard_roll,foundation_slab,Устройство фундаментной плиты,Planter Standard Технониколь,рул,,5166,experiments/foundation_slab_calculator/output/test_foundation_slab/foundation_slab_result.json,from_calculator_result
planterband_item,foundation_slab,Устройство фундаментной плиты,PLANTERBAND 10м х 10см,шт,,790,experiments/foundation_slab_calculator/output/test_foundation_slab/foundation_slab_result.json,from_calculator_result
plywood_1520x1520_18mm_sheet,floor_slab_1,Ж/Б монолитная плита перекрытия 1-го этажа,"Фанера ФК 1,52 * 1,52 толщиной 18 мм для закрытия некратных мест и торцов",шт,materials,1450.000000,experiments/floor_slab_1_calculator/output/test_floor_slab_1/floor_slab_1_result.json,from_calculator_result
plywood_1520x1520_18mm_sheet,floor_slab_2,Ж/Б МОНОЛИТНАЯ ПЛИТА ПЕРЕКРЫТИЯ 2-го этажа на отм. +4.680 (200мм),"Фанера ФК 1,52 * 1,52 толщиной 18 мм для закрытия некратных мест и торцов",шт,materials,1450.0,experiments/floor_slab_2_calculator/cases/test_floor_slab_2/result.json,from_calculator_result
plywood_1520x1520_18mm_sheet,foundation_slab,Устройство фундаментной плиты,"Фанера ФК 1,52 * 1,52 толщиной 18 мм",шт,,1450,experiments/foundation_slab_calculator/output/test_foundation_slab/foundation_slab_result.json,from_calculator_result
rebar_a240_d6_m,floor_slab_1,Ж/Б монолитная плита перекрытия 1-го этажа,Арматура класса А240 диаметром 6 мм,мп,materials,13.320000,experiments/floor_slab_1_calculator/output/test_floor_slab_1/floor_slab_1_result.json,from_calculator_result
rebar_a240_d6_m,foundation_slab,Устройство фундаментной плиты,Арматура класса А240 диаметром 6 мм,мп,,13.32,experiments/foundation_slab_calculator/output/test_foundation_slab/foundation_slab_result.json,from_calculator_result
rebar_a240_d6_m,load_bearing_walls_lintels,Несущие стены и перемычки,Арматура класса А240 диаметром 6 мм,мп,,13.32,experiments/load_bearing_walls_lintels_calculator/output/test_load_bearing_walls_lintels/load_bearing_walls_lintels_result.json,from_calculator_result
rebar_a240_d8_m,floor_slab_1,Ж/Б монолитная плита перекрытия 1-го этажа,Арматура класса А240 диаметром 8 мм,мп,materials,24.000000,experiments/floor_slab_1_calculator/output/test_floor_slab_1/floor_slab_1_result.json,from_calculator_result
rebar_a500_d10_m,floor_slab_1,Ж/Б монолитная плита перекрытия 1-го этажа,Арматура класса А500 диаметром 10 мм,мп,materials,32.720000,experiments/floor_slab_1_calculator/output/test_floor_slab_1/floor_slab_1_result.json,from_calculator_result
rebar_a500_d10_m,floor_slab_2,Ж/Б МОНОЛИТНАЯ ПЛИТА ПЕРЕКРЫТИЯ 2-го этажа на отм. +4.680 (200мм),Арматура класса А500 диаметром 10 мм,мп,materials,32.72,experiments/floor_slab_2_calculator/cases/test_floor_slab_2/result.json,from_calculator_result
rebar_a500_d10_m,foundation_slab,Устройство фундаментной плиты,Арматура класса А500 диаметром 10 мм,мп,,32.72,experiments/foundation_slab_calculator/output/test_foundation_slab/foundation_slab_result.json,from_calculator_result
rebar_a500_d10_m,load_bearing_walls_lintels,Несущие стены и перемычки,Арматура A500 Ø10 для несущих стен,мп,,32.72,experiments/load_bearing_walls_lintels_calculator/output/test_load_bearing_walls_lintels/load_bearing_walls_lintels_result.json,from_calculator_result
rebar_a500_d10_m,load_bearing_walls_lintels,Несущие стены и перемычки,Арматура A500 Ø10 для парапета и второго света,мп,,32.72,experiments/load_bearing_walls_lintels_calculator/output/test_load_bearing_walls_lintels/load_bearing_walls_lintels_result.json,from_calculator_result
rebar_a500_d12_m,floor_slab_1,Ж/Б монолитная плита перекрытия 1-го этажа,Арматура класса А500 диаметром 12 мм,мп,materials,45.290000,experiments/floor_slab_1_calculator/output/test_floor_slab_1/floor_slab_1_result.json,from_calculator_result
rebar_a500_d12_m,floor_slab_2,Ж/Б МОНОЛИТНАЯ ПЛИТА ПЕРЕКРЫТИЯ 2-го этажа на отм. +4.680 (200мм),Арматура класса А500 диаметром 12 мм,мп,materials,45.29,experiments/floor_slab_2_calculator/cases/test_floor_slab_2/result.json,from_calculator_result
rebar_a500_d12_m,foundation_slab,Устройство фундаментной плиты,Арматура класса А500 диаметром 12 мм,мп,,45.29,experiments/foundation_slab_calculator/output/test_foundation_slab/foundation_slab_result.json,from_calculator_result
rebar_a500_d12_m,load_bearing_walls_lintels,Несущие стены и перемычки,Арматура класса А500 диаметром 12 мм,мп,,45.29,experiments/load_bearing_walls_lintels_calculator/output/test_load_bearing_walls_lintels/load_bearing_walls_lintels_result.json,from_calculator_result
rebar_a500_d16_m,floor_slab_1,Ж/Б монолитная плита перекрытия 1-го этажа,Арматура класса А500 диаметром 16 мм,мп,materials,80.580000,experiments/floor_slab_1_calculator/output/test_floor_slab_1/floor_slab_1_result.json,from_calculator_result
rebar_a500_d16_m,floor_slab_2,Ж/Б МОНОЛИТНАЯ ПЛИТА ПЕРЕКРЫТИЯ 2-го этажа на отм. +4.680 (200мм),Арматура класса А500 диаметром 16 мм,мп,materials,80.58,experiments/floor_slab_2_calculator/cases/test_floor_slab_2/result.json,from_calculator_result
rebar_a500_d16_m,foundation_slab,Устройство фундаментной плиты,Арматура класса А500 диаметром 16 мм,мп,,80.58,experiments/foundation_slab_calculator/output/test_foundation_slab/foundation_slab_result.json,from_calculator_result
rebar_a500_d25_m,floor_slab_1,Ж/Б монолитная плита перекрытия 1-го этажа,Арматура класса А500 диаметром 25 мм,мп,materials,196.350000,experiments/floor_slab_1_calculator/output/test_floor_slab_1/floor_slab_1_result.json,from_calculator_result
roof_aluminum_edge_rail_m,flat_roof,КРОВЕЛЬНОЕ ПОКРЫТИЕ ДОМА,Рейка краевая алюминиевая 3м,мп,materials,98,experiments/flat_roof_calculator/cases/test_flat_roof_usv/result.json,from_calculator_result
roof_aluminum_pressure_rail_m,flat_roof,КРОВЕЛЬНОЕ ПОКРЫТИЕ ДОМА,Рейка прижимная алюминиевая 3м,мп,materials,95,experiments/flat_roof_calculator/cases/test_flat_roof_usv/result.json,from_calculator_result
roof_crane_lifting_shift,flat_roof,КРОВЕЛЬНОЕ ПОКРЫТИЕ ДОМА,Подъем материалов автокраном,смена,fixed_manual_machinery,30000,experiments/flat_roof_calculator/cases/test_flat_roof_usv/result.json,from_calculator_result
roof_eps100_technonikol_carbon_eco_m3,flat_roof,КРОВЕЛЬНОЕ ПОКРЫТИЕ ДОМА,Утеплитель ЭППС ТЕХНОНИКОЛЬ CARBON ECO (100мм),м3,materials,7326.7,experiments/flat_roof_calculator/cases/test_flat_roof_usv/result.json,from_calculator_result
roof_eps50_technonikol_carbon_eco_m3,flat_roof,КРОВЕЛЬНОЕ ПОКРЫТИЕ ДОМА,Утеплитель ЭППС ТЕХНОНИКОЛЬ CARBON ECO (50мм),м3,materials,6906.7,experiments/flat_roof_calculator/cases/test_flat_roof_usv/result.json,from_calculator_result
roof_eps_slope_2_1_plate_a_m3,flat_roof,КРОВЕЛЬНОЕ ПОКРЫТИЕ ДОМА,"Утеплитель ЭППС ТЕХНОНИКОЛЬ CARBON PROF SLOPE уклон 2,1% (плиты A)",м3,materials,10896,experiments/flat_roof_calculator/cases/test_flat_roof_usv/result.json,from_calculator_result
roof_eps_slope_2_1_plate_b_m3,flat_roof,КРОВЕЛЬНОЕ ПОКРЫТИЕ ДОМА,"Утеплитель ЭППС ТЕХНОНИКОЛЬ CARBON PROF SLOPE уклон 2,1% (плиты B)",м3,materials,10896,experiments/flat_roof_calculator/cases/test_flat_roof_usv/result.json,from_calculator_result
roof_eps_slope_4_2_plate_j_m3,flat_roof,КРОВЕЛЬНОЕ ПОКРЫТИЕ ДОМА,"Утеплитель ЭППС ТЕХНОНИКОЛЬ CARBON PROF SLOPE уклон 4,2% (плиты J)",м3,materials,10896,experiments/flat_roof_calculator/cases/test_flat_roof_usv/result.json,from_calculator_result
roof_eps_slope_4_2_plate_k_m3,flat_roof,КРОВЕЛЬНОЕ ПОКРЫТИЕ ДОМА,"Утеплитель ЭППС ТЕХНОНИКОЛЬ CARBON PROF SLOPE уклон 4,2% (плиты K)",м3,materials,10896,experiments/flat_roof_calculator/cases/test_flat_roof_usv/result.json,from_calculator_result
roof_geotextile_technonikol_prof_150_m2,flat_roof,КРОВЕЛЬНОЕ ПОКРЫТИЕ ДОМА,"Геотекстиль ТЕХНОНИКОЛЬ ПРОФ Кровля 150, 2х50м",м2,materials,64.34,experiments/flat_roof_calculator/cases/test_flat_roof_usv/result.json,from_calculator_result
roof_geotextile_technonikol_prof_300_m2,flat_roof,КРОВЕЛЬНОЕ ПОКРЫТИЕ ДОМА,"Геотекстиль ТЕХНОНИКОЛЬ ПРОФ Кровля 300, 2х50м",м2,materials,111.76,experiments/flat_roof_calculator/cases/test_flat_roof_usv/result.json,from_calculator_result
roof_internal_drain_pvc_110mm_m,flat_roof,КРОВЕЛЬНОЕ ПОКРЫТИЕ ДОМА,Устройство внутреннего водостока (ПВХ Ф110мм) (ориентировочно),мп,material_and_work,2500,experiments/flat_roof_calculator/cases/test_flat_roof_usv/result.json,from_calculator_result
roof_internal_drain_with_heating_item,flat_roof,КРОВЕЛЬНОЕ ПОКРЫТИЕ ДОМА,Установка воронки кровельной (с обжимным мет. фланцем с обогревом 110х450мм) (без пробивки отверстий),шт,material_and_work,5000,experiments/flat_roof_calculator/cases/test_flat_roof_usv/result.json,from_calculator_result
roof_parapet_drain_item,flat_roof,КРОВЕЛЬНОЕ ПОКРЫТИЕ ДОМА,Установка воронки парапетной (без пробивки отверстий),шт,material_and_work,5000,experiments/flat_roof_calculator/cases/test_flat_roof_usv/result.json,from_calculator_result
roof_pvc_aerator_75x375_item,flat_roof,КРОВЕЛЬНОЕ ПОКРЫТИЕ ДОМА,"Аэратор кровельный PVC, 75х375 (без пробивки отверстий)",шт,material_and_work,587,experiments/flat_roof_calculator/cases/test_flat_roof_usv/result.json,from_calculator_result
roof_pvc_membrane_logicroof_vrp_1_5mm_gray_roll,flat_roof,КРОВЕЛЬНОЕ ПОКРЫТИЕ ДОМА,"Полимерная мембрана ПВХ Logicroof V-RP 1,5 мм мембрана серая, 2,10х20",рул,materials,51431,experiments/flat_roof_calculator/cases/test_flat_roof_usv/result.json,from_calculator_result
