price_code,section_code,section_name,estimate_line_name,unit,current_price_from_calculator,source_file
crane_shift,floor_slab_1,Ж/Б монолитная плита перекрытия 1-го этажа,"Подача опалубки, арматуры автокраном",смена,30000.000000,experiments/floor_slab_1_calculator/output/test_floor_slab_1/floor_slab_1_result.json
cutoff_waterproofing_under_blocks_m2,load_bearing_walls_lintels,Несущие стены и перемычки,Гидроизоляция поверхности под первый ряд блоков,м2,250,experiments/load_bearing_walls_lintels_calculator/output/test_load_bearing_walls_lintels/load_bearing_walls_lintels_result.json
edge_insulation_work_m,floor_slab_1,Ж/Б монолитная плита перекрытия 1-го этажа,"Устройство утепления по наружной стороне торцов плиты, балок",мп,450.000000,experiments/floor_slab_1_calculator/output/test_floor_slab_1/floor_slab_1_result.json
eps_bottom_slab_insulation_work_m2,floor_slab_1,Ж/Б монолитная плита перекрытия 1-го этажа,Устройство утепления низа плиты,м2,900.000000,experiments/floor_slab_1_calculator/output/test_floor_slab_1/floor_slab_1_result.json
eps_foam_glue_can,floor_slab_1,Ж/Б монолитная плита перекрытия 1-го этажа,Клей-пена для ЭППС,баллон,490.000000,experiments/floor_slab_1_calculator/output/test_floor_slab_1/floor_slab_1_result.json
eps_geo_100_m3,foundation_slab,Устройство фундаментной плиты,Пеноплэкс ГЕО 100 мм,м3,10000,experiments/foundation_slab_calculator/output/test_foundation_slab/foundation_slab_result.json
eps_geo_50_m3,foundation_slab,Устройство фундаментной плиты,Пеноплэкс ГЕО 50 мм,м3,9800,experiments/foundation_slab_calculator/output/test_foundation_slab/foundation_slab_result.json
eps_laying_work_m2,foundation_slab,Устройство фундаментной плиты,Укладка ЭППС 50мм под плитой,м2,250,experiments/foundation_slab_calculator/output/test_foundation_slab/foundation_slab_result.json
eps_penoplex_osnova_100_m3,floor_slab_1,Ж/Б монолитная плита перекрытия 1-го этажа,Экструдированный пенополистирол Пеноплэкс Основа 100х585х1185 мм,м3,9020.000000,experiments/floor_slab_1_calculator/output/test_floor_slab_1/floor_slab_1_result.json
eps_wall_insulation_work_m2,waterproofing,Гидроизоляция фундаментной плиты,Утепление стен плиты ЭППС 100 мм,м2,500,experiments/waterproofing_calculator/output/test_waterproofing_foundation_slab/waterproofing_result.json
excavator_jcb_shift,earthworks,Земляные работы,"Механизированная разработка грунта, Экскаватор JCB",смена,22000,experiments/earthworks_calculator/output/horoshevka_14/earthworks_result.json
formwork_consumables_m2,floor_slab_1,Ж/Б монолитная плита перекрытия 1-го этажа,"Расходные материалы для установки опалубки (смазка; звездочки ПВХ, трубки)",-,9759.080000,experiments/floor_slab_1_calculator/output/test_floor_slab_1/floor_slab_1_result.json
formwork_delivery_truck,floor_slab_1,Ж/Б монолитная плита перекрытия 1-го этажа,"Доставка, вывоз опалубки манипулятором",маш,20000.000000,experiments/floor_slab_1_calculator/output/test_floor_slab_1/floor_slab_1_result.json
formwork_dismantling_work_m2,foundation_slab,Устройство фундаментной плиты,Демонтаж опалубки после завершения бетонирования,м2,,experiments/foundation_slab_calculator/output/test_foundation_slab/foundation_slab_result.json
formwork_rental_m2,floor_slab_1,Ж/Б монолитная плита перекрытия 1-го этажа,"Комплект опалубки (телескопические стойки, унивилки, треноги, водостойкая фанера, поперечные и продольные балки двутавровые)",м2,600.000000,experiments/floor_slab_1_calculator/output/test_floor_slab_1/floor_slab_1_result.json
gas_block_cladding_work_m2,load_bearing_walls_lintels,Несущие стены и перемычки,Обкладка дымохода и вентканалов 150 мм,м2,1200,experiments/load_bearing_walls_lintels_calculator/output/test_load_bearing_walls_lintels/load_bearing_walls_lintels_result.json
gas_block_d400_m3,load_bearing_walls_lintels,Несущие стены и перемычки,Газобетонный блок D400 600x400x250 мм,м3,6000,experiments/load_bearing_walls_lintels_calculator/output/test_load_bearing_walls_lintels/load_bearing_walls_lintels_result.json
gas_block_d500_150_m3,load_bearing_walls_lintels,Несущие стены и перемычки,Газобетонный блок D500 600x150x250 мм,м3,5600,experiments/load_bearing_walls_lintels_calculator/output/test_load_bearing_walls_lintels/load_bearing_walls_lintels_result.json
gas_block_d500_m3,load_bearing_walls_lintels,Несущие стены и перемычки,Газобетонный блок D500 600x250x250 мм,м3,5500,experiments/load_bearing_walls_lintels_calculator/output/test_load_bearing_walls_lintels/load_bearing_walls_lintels_result.json
gas_block_masonry_work_m3,load_bearing_walls_lintels,Несущие стены и перемычки,"Кладка внешних, внутренних стен из газобетонных блоков",м3,7000,experiments/load_bearing_walls_lintels_calculator/output/test_load_bearing_walls_lintels/load_bearing_walls_lintels_result.json
geotextile_dornit_300_m2,earthworks,Земляные работы,Геотекстиль Дорнит 300 г.м2 (100м2),м2,109,experiments/earthworks_calculator/output/horoshevka_14/earthworks_result.json
geotextile_laying_m2,earthworks,Земляные работы,Укладка геотекстиля,м2,35,experiments/earthworks_calculator/output/usv_yusupovo_village/earthworks_result.json
lintel_concreting_work_m,load_bearing_walls_lintels,Несущие стены и перемычки,Бетонирование перемычек,мп,1000,experiments/load_bearing_walls_lintels_calculator/output/test_load_bearing_walls_lintels/load_bearing_walls_lintels_result.json
manual_concrete_lifting_m3,load_bearing_walls_lintels,Несущие стены и перемычки,"Перенос, подъём бетона вручную",м3,5000,experiments/load_bearing_walls_lintels_calculator/output/test_load_bearing_walls_lintels/load_bearing_walls_lintels_result.json
manual_excavation_m3,earthworks,Земляные работы,Доработка грунта вручную,м3,1200,experiments/earthworks_calculator/output/horoshevka_14/earthworks_result.json
metal_delivery_truck,floor_slab_1,Ж/Б монолитная плита перекрытия 1-го этажа,"Доставка арматуры, металла",маш,22000.000000,experiments/floor_slab_1_calculator/output/test_floor_slab_1/floor_slab_1_result.json
planter_membrane_installation_work_m2,foundation_slab,Устройство фундаментной плиты,Монтаж мембраны PLANTER стандарт,м2,100,experiments/foundation_slab_calculator/output/test_foundation_slab/foundation_slab_result.json
planter_standard_roll,foundation_slab,Устройство фундаментной плиты,Planter Standard Технониколь,рул,5166,experiments/foundation_slab_calculator/output/test_foundation_slab/foundation_slab_result.json
planterband_item,foundation_slab,Устройство фундаментной плиты,PLANTERBAND 10м х 10см,шт,790,experiments/foundation_slab_calculator/output/test_foundation_slab/foundation_slab_result.json
plywood_1520x1520_18mm_sheet,floor_slab_1,Ж/Б монолитная плита перекрытия 1-го этажа,"Фанера ФК 1,52 * 1,52 толщиной 18 мм для закрытия некратных мест и торцов",шт,1450.000000,experiments/floor_slab_1_calculator/output/test_floor_slab_1/floor_slab_1_result.json
rebar_a240_d6_m,floor_slab_1,Ж/Б монолитная плита перекрытия 1-го этажа,Арматура класса А240 диаметром 6 мм,мп,13.320000,experiments/floor_slab_1_calculator/output/test_floor_slab_1/floor_slab_1_result.json
rebar_a240_d8_m,floor_slab_1,Ж/Б монолитная плита перекрытия 1-го этажа,Арматура класса А240 диаметром 8 мм,мп,24.000000,experiments/floor_slab_1_calculator/output/test_floor_slab_1/floor_slab_1_result.json
rebar_a500_d10_m,floor_slab_1,Ж/Б монолитная плита перекрытия 1-го этажа,Арматура класса А500 диаметром 10 мм,мп,32.720000,experiments/floor_slab_1_calculator/output/test_floor_slab_1/floor_slab_1_result.json
rebar_a500_d12_m,floor_slab_1,Ж/Б монолитная плита перекрытия 1-го этажа,Арматура класса А500 диаметром 12 мм,мп,45.290000,experiments/floor_slab_1_calculator/output/test_floor_slab_1/floor_slab_1_result.json
rebar_a500_d16_m,floor_slab_1,Ж/Б монолитная плита перекрытия 1-го этажа,Арматура класса А500 диаметром 16 мм,мп,80.580000,experiments/floor_slab_1_calculator/output/test_floor_slab_1/floor_slab_1_result.json
rebar_a500_d25_m,floor_slab_1,Ж/Б монолитная плита перекрытия 1-го этажа,Арматура класса А500 диаметром 25 мм,мп,196.350000,experiments/floor_slab_1_calculator/output/test_floor_slab_1/floor_slab_1_result.json
roof_aluminum_edge_rail_m,flat_roof,КРОВЕЛЬНОЕ ПОКРЫТИЕ ДОМА,Рейка краевая алюминиевая 3м,мп,98,experiments/flat_roof_calculator/cases/test_flat_roof_usv/result.json
roof_aluminum_pressure_rail_m,flat_roof,КРОВЕЛЬНОЕ ПОКРЫТИЕ ДОМА,Рейка прижимная алюминиевая 3м,мп,95,experiments/flat_roof_calculator/cases/test_flat_roof_usv/result.json
roof_crane_lifting_shift,flat_roof,КРОВЕЛЬНОЕ ПОКРЫТИЕ ДОМА,Подъем материалов автокраном,смена,30000,experiments/flat_roof_calculator/cases/test_flat_roof_usv/result.json
roof_eps100_technonikol_carbon_eco_m3,flat_roof,КРОВЕЛЬНОЕ ПОКРЫТИЕ ДОМА,Утеплитель ЭППС ТЕХНОНИКОЛЬ CARBON ECO (100мм),м3,7326.7,experiments/flat_roof_calculator/cases/test_flat_roof_usv/result.json
roof_eps50_technonikol_carbon_eco_m3,flat_roof,КРОВЕЛЬНОЕ ПОКРЫТИЕ ДОМА,Утеплитель ЭППС ТЕХНОНИКОЛЬ CARBON ECO (50мм),м3,6906.7,experiments/flat_roof_calculator/cases/test_flat_roof_usv/result.json
roof_eps_slope_2_1_plate_a_m3,flat_roof,КРОВЕЛЬНОЕ ПОКРЫТИЕ ДОМА,"Утеплитель ЭППС ТЕХНОНИКОЛЬ CARBON PROF SLOPE уклон 2,1% (плиты A)",м3,10896,experiments/flat_roof_calculator/cases/test_flat_roof_usv/result.json
roof_eps_slope_2_1_plate_b_m3,flat_roof,КРОВЕЛЬНОЕ ПОКРЫТИЕ ДОМА,"Утеплитель ЭППС ТЕХНОНИКОЛЬ CARBON PROF SLOPE уклон 2,1% (плиты B)",м3,10896,experiments/flat_roof_calculator/cases/test_flat_roof_usv/result.json
roof_eps_slope_4_2_plate_j_m3,flat_roof,КРОВЕЛЬНОЕ ПОКРЫТИЕ ДОМА,"Утеплитель ЭППС ТЕХНОНИКОЛЬ CARBON PROF SLOPE уклон 4,2% (плиты J)",м3,10896,experiments/flat_roof_calculator/cases/test_flat_roof_usv/result.json
roof_eps_slope_4_2_plate_k_m3,flat_roof,КРОВЕЛЬНОЕ ПОКРЫТИЕ ДОМА,"Утеплитель ЭППС ТЕХНОНИКОЛЬ CARBON PROF SLOPE уклон 4,2% (плиты K)",м3,10896,experiments/flat_roof_calculator/cases/test_flat_roof_usv/result.json
roof_geotextile_technonikol_prof_150_m2,flat_roof,КРОВЕЛЬНОЕ ПОКРЫТИЕ ДОМА,"Геотекстиль ТЕХНОНИКОЛЬ ПРОФ Кровля 150, 2х50м",м2,64.34,experiments/flat_roof_calculator/cases/test_flat_roof_usv/result.json
roof_geotextile_technonikol_prof_300_m2,flat_roof,КРОВЕЛЬНОЕ ПОКРЫТИЕ ДОМА,"Геотекстиль ТЕХНОНИКОЛЬ ПРОФ Кровля 300, 2х50м",м2,111.76,experiments/flat_roof_calculator/cases/test_flat_roof_usv/result.json
roof_internal_drain_pvc_110mm_m,flat_roof,КРОВЕЛЬНОЕ ПОКРЫТИЕ ДОМА,Устройство внутреннего водостока (ПВХ Ф110мм) (ориентировочно),мп,2500,experiments/flat_roof_calculator/cases/test_flat_roof_usv/result.json
roof_internal_drain_with_heating_item,flat_roof,КРОВЕЛЬНОЕ ПОКРЫТИЕ ДОМА,Установка воронки кровельной (с обжимным мет. фланцем с обогревом 110х450мм) (без пробивки отверстий),шт,5000,experiments/flat_roof_calculator/cases/test_flat_roof_usv/result.json
roof_parapet_drain_item,flat_roof,КРОВЕЛЬНОЕ ПОКРЫТИЕ ДОМА,Установка воронки парапетной (без пробивки отверстий),шт,5000,experiments/flat_roof_calculator/cases/test_flat_roof_usv/result.json
roof_pvc_aerator_75x375_item,flat_roof,КРОВЕЛЬНОЕ ПОКРЫТИЕ ДОМА,"Аэратор кровельный PVC, 75х375 (без пробивки отверстий)",шт,587,experiments/flat_roof_calculator/cases/test_flat_roof_usv/result.json
roof_pvc_membrane_logicroof_vrp_1_5mm_gray_roll,flat_roof,КРОВЕЛЬНОЕ ПОКРЫТИЕ ДОМА,"Полимерная мембрана ПВХ Logicroof V-RP 1,5 мм мембрана серая, 2,10х20",рул,51431,experiments/flat_roof_calculator/cases/test_flat_roof_usv/result.json
sand_concrete_bag,load_bearing_walls_lintels,Несущие стены и перемычки,Пескобетон М300 40 кг,шт,375,experiments/load_bearing_walls_lintels_calculator/output/test_load_bearing_walls_lintels/load_bearing_walls_lintels_result.json
sand_filling_work_m3,earthworks,Земляные работы,"Отсыпка дна котлована, засыпка под плитой песком с трамбованием",м3,1200,experiments/earthworks_calculator/output/usv_yusupovo_village/earthworks_result.json
sand_m3,earthworks,Земляные работы,Песок строительный,м3,1000,experiments/earthworks_calculator/output/horoshevka_14/earthworks_result.json
sand_manual_moving_m3,earthworks,Земляные работы,Перемещение песка вручную,м3,,experiments/earthworks_calculator/output/horoshevka_14/earthworks_result.json
scaffolding_setup_dismantling_work_set,load_bearing_walls_lintels,Несущие стены и перемычки,"Устройство лесов, подмостей для кладки, демонтаж лесов",компл,20000,experiments/load_bearing_walls_lintels_calculator/output/test_load_bearing_walls_lintels/load_bearing_walls_lintels_result.json
schiedel_delivery_truck,schiedel_vent_channels,ВЕНТИЛЯЦИОННЫЕ КАНАЛЫ Schiedel,Доставка вентканалов,маш,15000,experiments/schiedel_vent_channels_calculator/cases/test_schiedel_vent_channels_usv/result.json
schiedel_vent_channel_2x_36_25_item,schiedel_vent_channels,ВЕНТИЛЯЦИОННЫЕ КАНАЛЫ Schiedel,"Вентиляционный канал 2х,36/25 см Schiedel",шт,504,experiments/schiedel_vent_channels_calculator/cases/test_schiedel_vent_channels_usv/result.json
schiedel_vent_channel_3x_52_25_item,schiedel_vent_channels,ВЕНТИЛЯЦИОННЫЕ КАНАЛЫ Schiedel,"Вентиляционный канал 3х,52/25 см Schiedel",шт,720,experiments/schiedel_vent_channels_calculator/cases/test_schiedel_vent_channels_usv/result.json
technical_supervision_fixed,floor_slab_1,Ж/Б монолитная плита перекрытия 1-го этажа,Технический надзор,-,5000.000000,experiments/floor_slab_1_calculator/output/test_floor_slab_1/floor_slab_1_result.json
thermal_insert_installation_work_m,foundation_slab,Устройство фундаментной плиты,Устройство и монтаж термовкладыша 150*400*250мм шаг 200мм,мп,100,experiments/foundation_slab_calculator/output/test_foundation_slab/foundation_slab_result.json
timber_formwork_installation_work_m2,foundation_slab,Устройство фундаментной плиты,Монтаж опалубки из пиломатериалов для отбортовки плиты,м2,,experiments/foundation_slab_calculator/output/test_foundation_slab/foundation_slab_result.json
timber_m3,floor_slab_1,Ж/Б монолитная плита перекрытия 1-го этажа,Пиломатериал обрезной для устройства опалубки ГОСТ,м3,21499.997319,experiments/floor_slab_1_calculator/output/test_floor_slab_1/floor_slab_1_result.json
u_block_lintel_cutting_item,load_bearing_walls_lintels,Несущие стены и перемычки,Резка блока под перемычку (U-блок),шт,400,experiments/load_bearing_walls_lintels_calculator/output/test_load_bearing_walls_lintels/load_bearing_walls_lintels_result.json
waste_removal_truck,load_bearing_walls_lintels,Несущие стены и перемычки,Вывоз мусора с объекта,маш,10000,experiments/load_bearing_walls_lintels_calculator/output/test_load_bearing_walls_lintels/load_bearing_walls_lintels_result.json
